127.0.0.1 - - [03/Apr/2023:19:30:04 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:08 -0300] "GET /petWeb/index.xhtml HTTP/1.1" 200 3849
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:08 -0300] "GET /petWeb/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces&v=10.0.0 HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:08 -0300] "GET /petWeb/javax.faces.resource/theme.css.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces-saga&v=10.0.0 HTTP/1.1" 200 211527
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:08 -0300] "GET /petWeb/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces&v=10.0.0 HTTP/1.1" 200 8937
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/javax.faces.resource/core.js.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces&v=10.0.0 HTTP/1.1" 200 55825
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces&v=10.0.0 HTTP/1.1" 200 262369
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/javax.faces.resource/components.css.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces&v=10.0.0 HTTP/1.1" 200 104932
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/home.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/javax.faces.resource/components.js.xhtml;jsessionid=8788C7E8CA157973EC501E50529FD34D?ln=primefaces&v=10.0.0 HTTP/1.1" 200 477994
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /petWeb/javax.faces.resource/primeicons/primeicons.ttf.xhtml?ln=primefaces&v=10.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:19:30:09 -0300] "GET /favicon.ico HTTP/1.1" 404 774
